gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
FBXO11	0.124780330122913	-0.00261303740618274	0.327	0.213	1	RCHACV	0.392971303496397	Expanded NK-treated
LTB4R	0.124783947014543	0.00753165657860305	0.106	0.06	1	RCHACV	0.392971303496397	Expanded NK-treated
DPF3	0.124843792388428	0.00230965447424663	0.002	0.001	1	RCHACV	0.39310692530695	Expanded NK-treated
DUSP2	0.124895694349289	0.000479981828909098	0.241	0.153	1	RCHACV	0.393217501884263	Expanded NK-treated
LINC01825	0.12499988466021	-0.002162860893156	0.001	0.002	1	RCHACV	0.393492649547802	Expanded NK-treated
STXBP5-AS1	0.125037759621759	0.00663073933709209	0.016	0.008	1	RCHACV	0.393558994311292	Expanded NK-treated
DNTTIP1	0.12513308301077	-0.00275953748614027	0.391	0.266	1	RCHACV	0.393647768449679	Expanded NK-treated
WLS	0.125139467634922	-0.0283322130216501	0.093	0.076	1	RCHACV	0.393647768449679	Expanded NK-treated
DENND6B	0.12514381055138	-0.0369384781071698	0.187	0.148	1	RCHACV	0.393647768449679	Expanded NK-treated
HERC4	0.125144850996909	-0.000826695020435142	0.361	0.239	1	RCHACV	0.393647768449679	Expanded NK-treated
AL096840.2	0.125149979912631	-0.00531850968440734	0.004	0.005	1	RCHACV	0.393647768449679	Expanded NK-treated
AC022144.1	0.125211538215217	0.00500274943067056	0.023	0.011	1	RCHACV	0.393788522723572	Expanded NK-treated
GALNT11	0.125260143593544	0.0119783126537748	0.107	0.062	1	RCHACV	0.393888507914893	Expanded NK-treated
TRPM3	0.12535268162291	0.0011471116786009	0.003	0.001	1	RCHACV	0.394126596749419	Expanded NK-treated
RRH	0.125491872664394	-0.00670151514442641	0.008	0.009	1	RCHACV	0.394511285682873	Expanded NK-treated
ZNF319	0.125640057356779	0.0060871316729469	0.053	0.027	1	RCHACV	0.394924141110595	Expanded NK-treated
RAPGEF2	0.125697638828912	0.00521417922925238	0.231	0.146	1	RCHACV	0.395052131049763	Expanded NK-treated
AC004921.2	0.125748914327647	-0.0087637104137668	0.012	0.011	1	RCHACV	0.395160270416335	Expanded NK-treated
RNF125	0.125777998299412	0.00842086934599651	0.211	0.137	1	RCHACV	0.395198654259701	Expanded NK-treated
ULK3	0.125839313770055	0.00903612824991422	0.133	0.083	1	RCHACV	0.395338286669046	Expanded NK-treated
DEGS1	0.125904190341109	-0.0107149486674046	0.414	0.27	1	RCHACV	0.395489067728771	Expanded NK-treated
ELF3-AS1	0.126025847182215	0.00634876394105573	0.046	0.024	1	RCHACV	0.395818142101858	Expanded NK-treated
PRKACB	0.126084139684839	-0.0311639849336244	0.127	0.1	1	RCHACV	0.395948142144334	Expanded NK-treated
TRAF4	0.126130399450452	0.000411069294956379	0.432	0.307	1	RCHACV	0.396040325415592	Expanded NK-treated
TDRKH	0.126158691471179	0.00432557714068931	0.047	0.021	1	RCHACV	0.39607607412159	Expanded NK-treated
MRPS28	0.126236053050041	-0.00948375398616652	0.664	0.533	1	RCHACV	0.396221570368118	Expanded NK-treated
RAB30	0.126254334682178	-0.0144281219253055	0.036	0.031	1	RCHACV	0.396221570368118	Expanded NK-treated
ELOVL3	0.126255774226235	0.00380014643793706	0.007	0.003	1	RCHACV	0.396221570368118	Expanded NK-treated
UROD	0.126439524642618	-0.00191199596684305	0.346	0.228	1	RCHACV	0.396699520056355	Expanded NK-treated
PRKCSH	0.126441939482682	-0.00692437924785117	0.537	0.387	1	RCHACV	0.396699520056355	Expanded NK-treated
AC097505.1	0.12648831323535	-0.00241250944043501	0.001	0.002	1	RCHACV	0.396713315150447	Expanded NK-treated
FKBP2	0.126507055365113	0.00511980795878765	0.108	0.057	1	RCHACV	0.396713315150447	Expanded NK-treated
AL078581.2	0.126508561251869	-0.00565506763949841	0.005	0.006	1	RCHACV	0.396713315150447	Expanded NK-treated
MSS51	0.126515178148603	0.00572089566528594	0.023	0.011	1	RCHACV	0.396713315150447	Expanded NK-treated
GDI1	0.126531006565251	-0.00194910696533407	0.36	0.246	1	RCHACV	0.396713315150447	Expanded NK-treated
TMEM106B	0.126553541497531	-0.00386323096883046	0.372	0.247	1	RCHACV	0.396730873365806	Expanded NK-treated
THUMPD3-AS1	0.126597562297535	-0.0215555355612596	0.655	0.502	1	RCHACV	0.396743151464265	Expanded NK-treated
PDE9A	0.126605325753035	0.0019018350077044	0.004	0.001	1	RCHACV	0.396743151464265	Expanded NK-treated
MAP9	0.12660826398373	0.00874707211910238	0.075	0.043	1	RCHACV	0.396743151464265	Expanded NK-treated
FBRS	0.126628348218151	0.00546577759484801	0.303	0.207	1	RCHACV	0.396753017748645	Expanded NK-treated
SPI1	0.126653445921639	0.00122342630263672	0.298	0.196	1	RCHACV	0.396778587537607	Expanded NK-treated
PIKFYVE	0.126797663160313	-0.00746420880922524	0.264	0.162	1	RCHACV	0.397177277023218	Expanded NK-treated
NCK1	0.126930142574872	-0.00132885510766795	0.405	0.274	1	RCHACV	0.397528244351361	Expanded NK-treated
FAM98C	0.126952065116313	0.00495424491107302	0.172	0.104	1	RCHACV	0.397528244351361	Expanded NK-treated
AC139887.2	0.126962584338319	0.00539153601074513	0.275	0.183	1	RCHACV	0.397528244351361	Expanded NK-treated
MEIOC	0.126977583663347	0.00453576577543756	0.016	0.007	1	RCHACV	0.397528244351361	Expanded NK-treated
HM13-AS1	0.127090748432946	0.00132704978500321	0.003	0.001	1	RCHACV	0.39782936444931	Expanded NK-treated
CPSF1	0.12712899376921	-0.0167345004963881	0.5	0.346	1	RCHACV	0.397895916771046	Expanded NK-treated
GTF3C5	0.127228174990832	-0.011854945714832	0.519	0.368	1	RCHACV	0.398153146608365	Expanded NK-treated
MOSMO	0.127285656281136	0.00016506883355244	0.197	0.115	1	RCHACV	0.398279827661036	Expanded NK-treated
PCSK9	0.127380643404753	-0.00269384128029272	0.001	0.003	1	RCHACV	0.398523815844438	Expanded NK-treated
SEMA3C	0.127423573615213	-0.00315397371342309	0.001	0.003	1	RCHACV	0.398573933700234	Expanded NK-treated
SSR3	0.127430689521268	-0.0246456192574653	0.837	0.711	1	RCHACV	0.398573933700234	Expanded NK-treated
ARFGAP3	0.127491554979294	-0.00764645806044861	0.465	0.328	1	RCHACV	0.398711074422631	Expanded NK-treated
AC138904.3	0.127535542717004	0.00320818661384043	0.007	0.003	1	RCHACV	0.398795402994028	Expanded NK-treated
PRKAB2	0.127576345686325	0.00279732105253457	0.137	0.076	1	RCHACV	0.398869751820837	Expanded NK-treated
CEACAM1	0.127606332090922	0.00447950394346231	0.019	0.009	1	RCHACV	0.398910267132911	Expanded NK-treated
EVC2	0.127677967241218	0.00584822496728614	0.052	0.028	1	RCHACV	0.399078546468507	Expanded NK-treated
TET1	0.12769423248081	-0.00638201182052491	0.01	0.011	1	RCHACV	0.399078546468507	Expanded NK-treated
ABCD4	0.127732127346228	-0.00138615665620562	0.231	0.144	1	RCHACV	0.39910200411825	Expanded NK-treated
DNLZ	0.12775101859551	0.00562307238580646	0.039	0.018	1	RCHACV	0.39910200411825	Expanded NK-treated
YME1L1	0.127757306346984	-0.0254858969786048	0.79	0.644	1	RCHACV	0.39910200411825	Expanded NK-treated
ZNF195	0.127769882225077	-0.00879030641691092	0.537	0.395	1	RCHACV	0.39910200411825	Expanded NK-treated
TMEM267	0.1278230848673	0.00653186898125424	0.146	0.089	1	RCHACV	0.399140980049586	Expanded NK-treated
PBX3	0.127839063362506	0.0019676187042971	0.212	0.131	1	RCHACV	0.399140980049586	Expanded NK-treated
