gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
SPATA6L	0.0349356329683579	-0.00200491457916573	0	0.003	1	697	0.255879594819381	Expanded NK-treated
Z94160.1	0.0349564478755612	0.00149419802794165	0.003	0.001	1	697	0.255947606476734	Expanded NK-treated
UNG	0.0349772311258636	-0.0416149482138348	0.506	0.503	1	697	0.256015341574076	Expanded NK-treated
OGFRP1	0.0349963631589892	-0.00603085799913416	0.015	0.023	1	697	0.256070949943823	Expanded NK-treated
GLT1D1	0.0350331228535688	0.0149188460957419	0.233	0.193	1	697	0.256255462059054	Expanded NK-treated
TMEM132A	0.0350467276553879	0.0135111505528857	0.173	0.141	1	697	0.256270538191572	Expanded NK-treated
CDC37	0.0350803280380125	0.0178121314103721	0.929	0.895	1	697	0.256431768996997	Expanded NK-treated
PLD3	0.0351334829722487	-0.0194964679571775	0.178	0.186	1	697	0.256632693922358	Expanded NK-treated
AC068189.2	0.0351426528608116	0.00254779105780416	0.007	0.002	1	697	0.256632693922358	Expanded NK-treated
TIPIN	0.0351489630639483	-0.049761447038619	0.667	0.646	1	697	0.256632693922358	Expanded NK-treated
AC245014.1	0.0351540550548599	0.00137886702450944	0.002	0	1	697	0.256632693922358	Expanded NK-treated
SSC4D	0.0351903802344784	0.00347236861117638	0.014	0.006	1	697	0.2568134257743	Expanded NK-treated
SNHG8	0.0352065125707918	0.0262412276342183	0.99	0.982	1	697	0.256846723322898	Expanded NK-treated
TP53I11	0.0352270559692516	0.0134372480522952	0.212	0.168	1	697	0.256912169026736	Expanded NK-treated
MRM1	0.0352526553045542	0.0150584491581784	0.264	0.214	1	697	0.257014432762267	Expanded NK-treated
SMIM31	0.0353299058288049	-0.00207983007607906	0	0.003	1	697	0.257493075968309	Expanded NK-treated
MKKS	0.035349158220599	0.0154438689502101	0.288	0.239	1	697	0.257548839021102	Expanded NK-treated
SFRP2	0.0354093633346879	0.0021425005254912	0.003	0.001	1	697	0.257902843185719	Expanded NK-treated
KARS	0.0354522931227334	0.0249388162433382	0.89	0.866	1	697	0.258130832182578	Expanded NK-treated
HYLS1	0.0354803956241985	0.0121462033015459	0.147	0.112	1	697	0.258250748477772	Expanded NK-treated
GALNS	0.0355270217850357	0.0139056650895417	0.197	0.159	1	697	0.258416072338908	Expanded NK-treated
ERAS	0.0355365022819399	0.00114710158369103	0.002	0	1	697	0.258416072338908	Expanded NK-treated
CD19	0.0355380301284092	0.0137546313497147	0.626	0.553	1	697	0.258416072338908	Expanded NK-treated
LYPLA1	0.0355811276432627	0.0130824766486803	0.958	0.925	1	697	0.258624345899909	Expanded NK-treated
RIOX1	0.0355899719245144	0.0164062804196038	0.238	0.195	1	697	0.258624345899909	Expanded NK-treated
ZNF778	0.0356203856491405	-0.0120352183127187	0.073	0.084	1	697	0.258732328552652	Expanded NK-treated
CS	0.0356281409182639	0.0256385847385617	0.703	0.636	1	697	0.258732328552652	Expanded NK-treated
AL109838.1	0.0356613124971566	0.00233997277823563	0.004	0.001	1	697	0.25888853415202	Expanded NK-treated
CHST12	0.0357063208489157	0.0208877419072647	0.505	0.44	1	697	0.259130540322304	Expanded NK-treated
ZFP30	0.0357348208001333	-0.0248816419252252	0.231	0.232	1	697	0.259252621491163	Expanded NK-treated
MYSM1	0.0359330287293882	-0.0294774166246902	0.435	0.435	1	697	0.260605435410787	Expanded NK-treated
MDM2	0.0359865423650265	-0.0660307558454076	0.956	0.945	1	697	0.260908308459695	Expanded NK-treated
AC093675.1	0.0360279938560446	0.00172895991442004	0.005	0.002	1	697	0.261078477987166	Expanded NK-treated
EFR3A	0.0360335340789493	0.0154918560218477	0.274	0.226	1	697	0.261078477987166	Expanded NK-treated
VPS26C	0.0360881366724404	0.0151983763277276	0.338	0.282	1	697	0.261388787643777	Expanded NK-treated
SEC24C	0.0361664628447988	0.0150242138225367	0.283	0.233	1	697	0.261787796516895	Expanded NK-treated
USP46	0.0361668095458251	-0.0390808632745133	0.564	0.555	1	697	0.261787796516895	Expanded NK-treated
PLAT	0.0361790577469631	0.00268832823382093	0.01	0.005	1	697	0.261791095822223	Expanded NK-treated
LIN7B	0.0362177044157396	0.00892122705231972	0.083	0.062	1	697	0.26181521019853	Expanded NK-treated
ADD1	0.0362241762607145	0.0159053124446298	0.285	0.233	1	697	0.26181521019853	Expanded NK-treated
SKAP2	0.0362279685861135	0.00472023131168805	0.012	0.005	1	697	0.26181521019853	Expanded NK-treated
CFAP70	0.0362295642220669	0.00301048103432302	0.007	0.005	1	697	0.26181521019853	Expanded NK-treated
DOCK8-AS1	0.0363010540782966	0.000972217246514636	0.002	0	1	697	0.26222011108221	Expanded NK-treated
WT1	0.0363092171831852	0.017811297351646	0.245	0.215	1	697	0.26222011108221	Expanded NK-treated
AC132192.2	0.0363373550621886	0.00889971892765176	0.087	0.064	1	697	0.262337978009947	Expanded NK-treated
NEK4	0.0363527320890215	-0.0222623034152533	0.203	0.204	1	697	0.262363671123627	Expanded NK-treated
MAPK1	0.0363734723745634	0.0154401898283562	0.63	0.555	1	697	0.262428042481413	Expanded NK-treated
ZSCAN29	0.0364101326125148	0.0140524968289261	0.232	0.191	1	697	0.262607194281296	Expanded NK-treated
ZNF45	0.0364677965504286	-0.0139882506426167	0.084	0.089	1	697	0.26269229380337	Expanded NK-treated
WAS	0.0364695506536538	0.015525366023001	0.686	0.612	1	697	0.26269229380337	Expanded NK-treated
AL662890.1	0.036472453254634	-0.00713493810746206	0.016	0.022	1	697	0.26269229380337	Expanded NK-treated
LINC00514	0.0364956026929159	0.00172978373303946	0.002	0	1	697	0.26269229380337	Expanded NK-treated
AC027682.6	0.0365053674812643	0.00257587257410863	0.009	0.004	1	697	0.26269229380337	Expanded NK-treated
PTPRCAP	0.036507874830836	-0.00182670998482059	0	0.003	1	697	0.26269229380337	Expanded NK-treated
LINC01301	0.0365211349894532	0.00368467043016208	0.016	0.009	1	697	0.26269229380337	Expanded NK-treated
CD69	0.0365233187402735	0.00195390520572726	0.005	0.001	1	697	0.26269229380337	Expanded NK-treated
NOP16	0.0365322151960078	0.026418161790702	0.887	0.851	1	697	0.26269229380337	Expanded NK-treated
CIAO1	0.0365402614083246	0.0184289850725112	0.828	0.769	1	697	0.26269229380337	Expanded NK-treated
PRKACA	0.0365970445318644	0.0145443982909385	0.259	0.207	1	697	0.262965094714913	Expanded NK-treated
COL23A1	0.0366018983184271	0.00226913726953305	0.007	0.003	1	697	0.262965094714913	Expanded NK-treated
RNF187	0.0366554222568829	0.0217235302530301	0.872	0.821	1	697	0.263261801501643	Expanded NK-treated
ARMT1	0.0366669139749135	0.0195626215088333	0.398	0.35	1	697	0.263261801501643	Expanded NK-treated
TEDC2	0.036689208210682	0.0171861577441479	0.368	0.312	1	697	0.263336702967068	Expanded NK-treated
BEND5	0.0367018254566515	0.0190323232921666	0.368	0.315	1	697	0.263342121893233	Expanded NK-treated
RPL18	0.0367730685831474	-0.0202745509036237	1	0.999	1	697	0.263734727757515	Expanded NK-treated
PRR32	0.036781944141677	0.014583710447694	0.142	0.112	1	697	0.263734727757515	Expanded NK-treated
TEPSIN	0.036811458856623	0.00912654584188649	0.098	0.071	1	697	0.263734727757515	Expanded NK-treated
AC008494.3	0.0368158000497161	-0.00268925716286233	0.005	0.01	1	697	0.263734727757515	Expanded NK-treated
PPARG	0.0368159424018261	0.00200047314700201	0.003	0.001	1	697	0.263734727757515	Expanded NK-treated
LINC01447	0.0368576444476916	0.00379573781747582	0.011	0.005	1	697	0.263948292496372	Expanded NK-treated
TAX1BP3	0.0368949969578013	0.0170589350537325	0.378	0.32	1	697	0.264130581252238	Expanded NK-treated
CEBPA	0.0369084709908335	0.0139369669947555	0.191	0.158	1	697	0.264141862023373	Expanded NK-treated
SMPD4	0.0369231761126584	0.0181349873095347	0.438	0.383	1	697	0.264161943184343	Expanded NK-treated
SMC2-AS1	0.0369386769097784	0.00206992270429041	0.007	0.003	1	697	0.264187702125348	Expanded NK-treated
HOXB7	0.0370052669325695	-0.00260070600349468	0	0.003	1	697	0.264578720097598	Expanded NK-treated
SNX27	0.0370597337205494	0.0205496778491843	0.414	0.366	1	697	0.264882835993624	Expanded NK-treated
GPR157	0.0372171508086962	-0.00889623939948012	0.038	0.046	1	697	0.265922352093034	Expanded NK-treated
LRFN4	0.0372519711515747	0.0156774279864671	0.346	0.29	1	697	0.266085508225533	Expanded NK-treated
AGAP3	0.0373091971261002	0.0166716182169347	0.305	0.252	1	697	0.266263266003614	Expanded NK-treated
PLEKHN1	0.037312240661745	0.00081891337266638	0.002	0	1	697	0.266263266003614	Expanded NK-treated
