gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
AC011773.4	0.174725194487041	0.0024335604195744	0.005	0.001	1	KASUMI2	0.465731211267978	Expanded NK-treated
GBF1	0.174796847770174	0.0116056697178562	0.232	0.154	1	KASUMI2	0.465866310809737	Expanded NK-treated
SCMH1	0.174821704037375	-0.000659383131616037	0.215	0.136	1	KASUMI2	0.46587667009696	Expanded NK-treated
TGFBR3	0.174862208144747	-0.0125536365311224	0.015	0.016	1	KASUMI2	0.465928721318283	Expanded NK-treated
BSPRY	0.174884757091903	0.0034705773104021	0.21	0.136	1	KASUMI2	0.46593292340938	Expanded NK-treated
AC134508.2	0.174929668498817	0.000936341674528508	0.001	0	1	KASUMI2	0.465983548962269	Expanded NK-treated
AC109809.1	0.174945707426488	0.00113734734002878	0.001	0	1	KASUMI2	0.465983548962269	Expanded NK-treated
FASTKD1	0.175002565887296	-0.000557554369533642	0.201	0.126	1	KASUMI2	0.466079118474953	Expanded NK-treated
TBL1XR1-AS1	0.175055262206089	0.00111039442407525	0.001	0	1	KASUMI2	0.466131231141957	Expanded NK-treated
ALX1	0.175064094731444	0.00116953607823184	0.001	0	1	KASUMI2	0.466131231141957	Expanded NK-treated
CHD8	0.175119748608727	-0.00145649591968322	0.484	0.37	1	KASUMI2	0.466171449736758	Expanded NK-treated
DNM3-IT1	0.175121164851374	0.00117903929479213	0.001	0	1	KASUMI2	0.466171449736758	Expanded NK-treated
AL356441.1	0.175255060760647	0.000473286641269505	0.001	0	1	KASUMI2	0.466471988129783	Expanded NK-treated
AC093802.1	0.175291822286123	0.000847942675947265	0.001	0	1	KASUMI2	0.466511553957284	Expanded NK-treated
LCN8	0.175311921681116	-0.026343208099526	0.067	0.061	1	KASUMI2	0.466511553957284	Expanded NK-treated
ZNF572	0.175361071410198	0.00470646277515937	0.017	0.007	1	KASUMI2	0.466586457906632	Expanded NK-treated
DIRAS3	0.175395660311617	-0.00794478581975607	0.006	0.007	1	KASUMI2	0.466590613467698	Expanded NK-treated
INO80C	0.17540463625522	0.000467366684910819	0.261	0.175	1	KASUMI2	0.466590613467698	Expanded NK-treated
C4orf33	0.175439485674457	-0.0260288273119412	0.064	0.055	1	KASUMI2	0.466627445615875	Expanded NK-treated
LINC02246	0.175498950305161	-0.0128054979405634	0.021	0.022	1	KASUMI2	0.466729731736863	Expanded NK-treated
OSBP2	0.17558482583707	-0.00620757599971247	0.002	0.005	1	KASUMI2	0.466902223294097	Expanded NK-treated
ELF1	0.175651139539125	-0.0266768118312501	0.783	0.652	1	KASUMI2	0.467022662415119	Expanded NK-treated
NCBP2	0.175728127669385	-0.0233654698729147	0.748	0.615	1	KASUMI2	0.467092144325919	Expanded NK-treated
ZNF543	0.175742846143715	0.00640443948307717	0.022	0.01	1	KASUMI2	0.467092144325919	Expanded NK-treated
ODC1	0.175757754884301	0.070289158254857	0.987	0.984	1	KASUMI2	0.467092144325919	Expanded NK-treated
MRPL45	0.175761368617036	-0.0653468057733261	0.367	0.3	1	KASUMI2	0.467092144325919	Expanded NK-treated
AC069200.1	0.175806506007259	-0.00298613884267689	0	0.002	1	KASUMI2	0.467112411672282	Expanded NK-treated
NIM1K	0.175811044983734	0.000533690086073176	0.001	0	1	KASUMI2	0.467112411672282	Expanded NK-treated
TMCC2	0.175837378757762	0.0008589581115689	0.001	0	1	KASUMI2	0.467126514870404	Expanded NK-treated
AP003119.3	0.175908053280289	0.00269823246976764	0.004	0.001	1	KASUMI2	0.467210833027718	Expanded NK-treated
MYLIP	0.175911176949042	0.0114808453906779	0.102	0.065	1	KASUMI2	0.467210833027718	Expanded NK-treated
NBPF15	0.176012219598119	-0.00530084157556856	0.002	0.005	1	KASUMI2	0.467399577477134	Expanded NK-treated
AC087276.2	0.176024317628446	0.000713510128935597	0.001	0	1	KASUMI2	0.467399577477134	Expanded NK-treated
AC005606.2	0.176083041950527	0.00105534097766218	0.001	0	1	KASUMI2	0.467420980887552	Expanded NK-treated
TACO1	0.176085623222702	0.0016076036362766	0.272	0.182	1	KASUMI2	0.467420980887552	Expanded NK-treated
LINC02822	0.176095494892596	-0.00404367342394099	0.001	0.003	1	KASUMI2	0.467420980887552	Expanded NK-treated
PDZD11	0.176195947284871	-0.00229419557593535	0.326	0.224	1	KASUMI2	0.467497274363333	Expanded NK-treated
LINC01524	0.176274454890597	0.000748288894983471	0.001	0	1	KASUMI2	0.467497274363333	Expanded NK-treated
YAE1	0.176285993591301	-0.0205049346870248	0.052	0.049	1	KASUMI2	0.467497274363333	Expanded NK-treated
SULT1A3	0.176304425272928	0.00637400824197102	0.027	0.013	1	KASUMI2	0.467497274363333	Expanded NK-treated
AL139246.3	0.176310014541462	0.00126992730912841	0.001	0	1	KASUMI2	0.467497274363333	Expanded NK-treated
TRMT112	0.176322369504551	-0.0270478962066405	0.933	0.859	1	KASUMI2	0.467497274363333	Expanded NK-treated
TFEB	0.176341250551335	-0.00566210680963308	0.326	0.222	1	KASUMI2	0.467497274363333	Expanded NK-treated
GPRC5D-AS1	0.17636563004464	0.000766833894354052	0.001	0	1	KASUMI2	0.467497274363333	Expanded NK-treated
PGBD1	0.17638637265587	0.00987553344972517	0.098	0.063	1	KASUMI2	0.467497274363333	Expanded NK-treated
MEIS2	0.176413894172456	-0.00561130077216522	0.002	0.004	1	KASUMI2	0.467497274363333	Expanded NK-treated
FAM107B	0.176431738593901	-0.0834079343439749	0.935	0.901	1	KASUMI2	0.467497274363333	Expanded NK-treated
