gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_line	p_adj	condition
CALM1	2.17354884565032e-19	0.094072902982115	1	0.996	6.48304414192122e-15	NALM6	5.58408848990298e-17	Expanded NK-treated
SNRPD3	2.30141758153236e-19	0.0941457090304947	0.985	0.903	6.86443822043657e-15	NALM6	5.84762388133969e-17	Expanded NK-treated
MT-CO3	2.36651854842346e-19	-0.104228783377556	1	1	7.05861487438266e-15	NALM6	5.94767846485297e-17	Expanded NK-treated
GTF2H5	3.49229922812413e-19	0.102148185690756	0.918	0.705	1.04164809077258e-14	NALM6	8.68268201641786e-17	Expanded NK-treated
ATP5PF	4.26960710944205e-19	0.0851399133641904	0.999	0.995	1.27349571253328e-14	NALM6	1.05023250621829e-16	Expanded NK-treated
PAX5	7.44012253508385e-19	0.122568859263906	0.964	0.849	2.21916534853946e-14	NALM6	1.80908526982063e-16	Expanded NK-treated
LRRFIP1	7.51112299553586e-19	0.100016941349261	0.991	0.918	2.24034265587848e-14	NALM6	1.80908526982063e-16	Expanded NK-treated
PRPF8	7.75013402643999e-19	0.101189860709478	0.88	0.66	2.31163247606626e-14	NALM6	1.84740823669428e-16	Expanded NK-treated
THRAP3	8.60534101882726e-19	0.0918135442713592	0.991	0.942	2.56671506568561e-14	NALM6	2.03033362282984e-16	Expanded NK-treated
EZR	9.55132881852485e-19	0.118650912284274	0.917	0.732	2.84887484670141e-14	NALM6	2.23076590850436e-16	Expanded NK-treated
SEC11C	1.08167335806237e-18	0.0998673689164766	0.897	0.679	3.22630712509264e-14	NALM6	2.50104513851182e-16	Expanded NK-treated
RPL27A	1.33246362661613e-18	0.0806220792851793	0.999	1	3.97433925910792e-14	NALM6	3.05041821530872e-16	Expanded NK-treated
BPTF	1.38183107386701e-18	0.111261163168939	0.97	0.858	4.12158754402314e-14	NALM6	3.13242138136795e-16	Expanded NK-treated
PUM3	1.46955970776985e-18	0.110136753831005	0.912	0.718	4.38325574036513e-14	NALM6	3.29894753039363e-16	Expanded NK-treated
SORL1	1.50704782378852e-18	0.111280500933206	0.638	0.378	4.49507154401403e-14	NALM6	3.35057305592675e-16	Expanded NK-treated
RPL38	1.75100688808316e-18	-0.106682744201623	1	1	5.22272824508565e-14	NALM6	3.85386901480562e-16	Expanded NK-treated
KIF5B	1.76675943071272e-18	0.10622688952205	0.961	0.824	5.26971335398684e-14	NALM6	3.85386901480562e-16	Expanded NK-treated
