Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
S_86_0_S106515	Unknown Library	4402940.0	0.0	4710935.0	129200.0	3276900.0	0.0	0.0	0.744253	
S_87_0_S106518	Unknown Library	4761589.0	0.0	5121572.0	137439.0	3520323.0	0.0	0.0	0.739317	
S_88_0_S106517	Unknown Library	4339120.0	0.0	4568630.0	123393.0	3240000.0	0.0	0.0	0.746695	
S_89_0_S106520	Unknown Library	5468738.0	0.0	5850127.0	134834.0	4232713.0	0.0	0.0	0.773984	
S_8_0_S106449	Unknown Library	4815376.0	0.0	4975346.0	145936.0	3698542.0	0.0	0.0	0.768069	
S_8_0_S115924	Unknown Library	8780102.0	0.0	10759804.0	399552.0	7788366.0	0.0	0.0	0.887047	
S_90_0_S106519	Unknown Library	4503701.0	0.0	4893677.0	144982.0	3429685.0	0.0	0.0	0.761526	
S_91_0_S106522	Unknown Library	3727502.0	0.0	4035865.0	134368.0	2728334.0	0.0	0.0	0.731947	
S_92_0_S106521	Unknown Library	3964716.0	0.0	4287804.0	151200.0	2999541.0	0.0	0.0	0.756559	
S_93_0_S106524	Unknown Library	4138831.0	0.0	4680931.0	154621.0	3068112.0	0.0	0.0	0.741299	
S_94_0_S106523	Unknown Library	3524283.0	0.0	3668455.0	87950.0	2619044.0	0.0	0.0	0.743142	
S_95_0_S106526	Unknown Library	4156438.0	0.0	4276514.0	111021.0	3128972.0	0.0	0.0	0.752801	
S_96_0_S106525	Unknown Library	3841824.0	0.0	3975566.0	131904.0	2946893.0	0.0	0.0	0.767056	
S_97_0_S106528	Unknown Library	4377305.0	0.0	4696071.0	151542.0	3416852.0	0.0	0.0	0.780583	
S_98_0_S106527	Unknown Library	4648784.0	0.0	4856631.0	145866.0	3761907.0	0.0	0.0	0.809224	
S_99_0_S106530	Unknown Library	4236760.0	0.0	4459228.0	130518.0	3262516.0	0.0	0.0	0.77005	
S_9_0_S106452	Unknown Library	4391521.0	0.0	4554338.0	123584.0	3330565.0	0.0	0.0	0.758408	
S_9_0_S115927	Unknown Library	7142585.0	0.0	8695150.0	250304.0	6332199.0	0.0	0.0	0.886542	
