sample_name,experiment,ubam1_path,ubam2_path,original_sample_name
S_27_0_S106459,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_27_0_S106459.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_27_0_S106459.bam,27
S_27_0_S115945,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_27_0_S115945.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_27_0_S115945.bam,27
S_28_0_S106462,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_28_0_S106462.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_28_0_S106462.bam,28
S_28_0_S115944,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_28_0_S115944.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_28_0_S115944.bam,28
S_29_0_S106461,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_29_0_S106461.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_29_0_S106461.bam,29
S_29_0_S115947,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_29_0_S115947.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_29_0_S115947.bam,29
S_3_0_S115921,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_3_0_S115921.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_3_0_S115921.bam,3
S_30_0_S106464,R0108,BSF_1117_HMV5NBBXY_L7/BSF_1117_HMV5NBBXY_7#S_30_0_S106464.bam,BSF_1117_HMV5NBBXY_L8/BSF_1117_HMV5NBBXY_8#S_30_0_S106464.bam,30
S_30_0_S115946,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_30_0_S115946.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_30_0_S115946.bam,30
S_31_0_S115949,R0114_L5311,BSF_1179_HNYKKBBXY_L4/BSF_1179_HNYKKBBXY_4#S_31_0_S115949.bam,BSF_1179_HNYKKBBXY_L5/BSF_1179_HNYKKBBXY_5#S_31_0_S115949.bam,31
